id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
938266199766701429,Hotel in Albany · 1 bedroom · 1 bed · 1 bath,526358730,Argus,,TENTH WARD,42.660367202946986,-73.77326955672677,Private room,162,1,0,,,12,350,0,
938271786418327576,Hotel in Albany · 1 bedroom · 1 bed · 1 bath,526358730,Argus,,SIXTH WARD,42.65868261789235,-73.77332643473149,Private room,250,1,0,,,12,355,0,
938280419686165005,Guesthouse in Albany · ★5.0 · 3 bedrooms · 4 beds · 2 baths,526358730,Argus,,TENTH WARD,42.660362531234114,-73.77290224418863,Entire home/apt,307,1,4,2023-12-03,0.79,12,327,4,
938421117122010799,Home in Albany · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,116935236,Fs,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,45,1,8,2023-11-30,1.45,4,365,8,
938431811499141903,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,116935236,Fs,,THIRTEENTH WARD,42.669735657513975,-73.78610658197474,Private room,40,2,3,2023-12-29,0.54,4,360,3,
938475906652462790,Rental unit in Albany · 2 bedrooms · 2 beds · 1 bath,132766782,Kelly,,TWELFTH WARD,42.673982043290124,-73.7912638431355,Entire home/apt,110,3,0,,,1,260,0,
940012438497375577,Home in Albany · 1 bedroom · 1 bed · 1 private bath,172539578,David Yisrael,,FIFTEENTH WARD,42.68001107488553,-73.81705995884008,Private room,71,2,2,2023-10-02,0.44,3,39,2,
942329036354117336,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,491607190,Abba,,FOURTEENTH WARD,42.65801,-73.80049,Entire home/apt,115,1,3,2023-10-01,0.73,6,0,3,
942355055662538072,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,FOURTEENTH WARD,42.657984040044035,-73.80128215056936,Private room,95,1,1,2023-08-07,0.20,6,5,1,
942750363293463100,Home in Albany · ★New · 1 bedroom · 1 bed · 2 baths,116935236,Fs,,ELEVENTH WARD,42.67033901962889,-73.78509801171585,Private room,50,2,0,,,4,264,0,
943344283913343832,Home in Albany · 4 bedrooms · 12 beds · 2 baths,39656001,Urbangem,,SECOND WARD,42.642978050189676,-73.75701914464297,Entire home/apt,399,1,0,,,6,365,0,
943359292008970578,Home in Albany · 4 bedrooms · 10 beds · 2 baths,39656001,Urbangem,,SECOND WARD,42.64424112276753,-73.75675302182465,Entire home/apt,599,2,0,,,6,365,0,
950211425725610511,Rental unit in Albany · ★4.90 · 2 bedrooms · 2 beds · 1 bath,1717342,David,,SIXTH WARD,42.6541815,-73.76086049999999,Entire home/apt,112,1,38,2023-12-31,8.09,2,0,38,
950613505102507073,Home in Albany · 3 bedrooms · 4 beds · 2 baths,529844022,Shirin,,FIRST WARD,42.63855425549474,-73.76927029173929,Entire home/apt,185,1,0,,,1,269,0,
956423465030072969,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,TENTH WARD,42.66000843071908,-73.77397295619353,Entire home/apt,105,1,8,2023-11-01,1.70,6,0,8,
957914480227791276,Home in Albany · ★4.96 · 2 bedrooms · 2 beds · 2 baths,217254883,Ermenita,,NINTH WARD,42.6549886,-73.79390939999999,Entire home/apt,113,1,27,2024-01-03,5.74,1,328,27,
958199983873241221,Home in Albany · 1 bedroom · 2 beds · 1 bath,172539578,David Yisrael,,FIFTEENTH WARD,42.678962799458816,-73.81724461913109,Entire home/apt,118,3,1,2023-11-24,0.68,3,65,1,
961998123616790842,Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,SIXTH WARD,42.655862861204575,-73.76206230663061,Entire home/apt,105,1,2,2023-11-14,0.86,6,0,2,
963920695464462572,Rental unit in Albany · ★4.86 · 1 bedroom · 1 bed · 1 bath,189586864,Justin,,SIXTH WARD,42.65240863051438,-73.77002141071337,Entire home/apt,89,1,7,2023-12-28,1.60,1,346,7,
966287799980701967,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,374765317,Tanjin,,FIFTEENTH WARD,42.67059398561849,-73.81678288145305,Entire home/apt,98,3,3,2023-10-07,0.87,1,174,3,
971129128316810875,Rental unit in Albany · ★4.58 · 2 bedrooms · 1 bath,535042691,Chadell,,THIRD WARD,42.65679550669701,-73.75335661522755,Entire home/apt,108,1,11,2023-12-17,3.30,1,0,11,
977732791678350126,Rental unit in Albany · 2 bedrooms · 2 beds · 2 baths,440217250,James,,THIRD WARD,42.65393539999999,-73.7513252,Entire home/apt,129,180,0,,,1,118,0,
980034348801186320,Rental unit in Albany · ★5.0 · 2 bedrooms · 3 beds · 1 bath,241123402,JShing,,SIXTH WARD,42.65312775001394,-73.76950465142727,Entire home/apt,125,1,3,2023-11-12,1.05,1,0,3,
980413726629488708,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,536994984,Deanna,,SEVENTH WARD,42.652463321813265,-73.77498766972566,Entire home/apt,236,1,0,,,1,270,0,
983306819910081094,Rental unit in Albany · 2 bedrooms · 4 beds · 1 bath,114183978,Tyrell,,FIFTH WARD,42.66627900500492,-73.76511947562057,Entire home/apt,120,2,1,2023-10-22,0.39,1,175,1,
983307301778877403,Rental unit in Albany · ★4.58 · 3 bedrooms · 3 beds · 1 bath,426223840,Antonio,,ELEVENTH WARD,42.66391565517209,-73.77786945551634,Entire home/apt,115,1,12,2023-12-10,3.40,1,253,12,
989010058281318863,Rental unit in Albany · 1 bedroom · 2 beds · 1 bath,75667477,Ahmad,,SIXTH WARD,42.65411,-73.76129,Entire home/apt,99,30,2,2023-11-07,0.63,1,171,2,
989897095065962672,Home in Albany · 4 bedrooms · 5 beds · 1.5 baths,109133858,Priscilla,,THIRTEENTH WARD,42.671599252081194,-73.79798656710622,Entire home/apt,218,1,0,,,1,269,0,
